Fecha de Sorteo,Numero de sorteo,Numero de Juego,Nombre,Valores Principales,Comodines,DRAWNAME,Ganadores de Premio Mayor,Premio Mayor Garantizado
8/25/2002 12:00:00 AM,1714,1,main,"31,34,26,1,2,28",16.0,Loto,0,
8/25/2002 12:00:00 AM,1714,1,main,"27,19,23,24,10,14",,Revancha,0,
8/27/2002 12:00:00 AM,1715,1,main,"13,17,1,28,26,30",19.0,Loto,0,
8/27/2002 12:00:00 AM,1715,1,main,"36,25,9,30,24,13",,Revancha,0,
8/29/2002 12:00:00 AM,1716,1,main,"20,14,4,5,30,16",35.0,Loto,0,
8/29/2002 12:00:00 AM,1716,1,main,"11,17,25,35,15,23",,Revancha,0,
9/1/2002 12:00:00 AM,1717,1,main,"1,24,21,12,11,18",28.0,Loto,0,
9/1/2002 12:00:00 AM,1717,1,main,"36,28,15,18,10,13",,Revancha,0,
9/3/2002 12:00:00 AM,1718,1,main,"21,24,7,10,35,17",3.0,Loto,0,
9/3/2002 12:00:00 AM,1718,1,main,"23,1,29,11,30,31",,Revancha,0,
9/5/2002 12:00:00 AM,1719,1,main,"5,8,18,14,2,33",29.0,Loto,0,
9/5/2002 12:00:00 AM,1719,1,main,"21,34,16,4,12,36",,Revancha,0,
9/8/2002 12:00:00 AM,1720,1,main,"34,6,12,11,16,28",23.0,Loto,0,
9/8/2002 12:00:00 AM,1720,1,main,"17,28,11,16,9,20",,Revancha,0,
9/10/2002 12:00:00 AM,1721,1,main,"3,15,16,1,14,4",30.0,Loto,0,
9/10/2002 12:00:00 AM,1721,1,main,"20,22,32,14,30,34",,Revancha,0,
9/12/2002 12:00:00 AM,1722,1,main,"8,34,7,27,1,35",24.0,Loto,0,
9/12/2002 12:00:00 AM,1722,1,main,"18,36,16,31,5,6",,Revancha,0,
9/15/2002 12:00:00 AM,1723,1,main,"1,15,35,25,12,20",21.0,Loto,0,
9/15/2002 12:00:00 AM,1723,1,main,"12,33,28,4,36,18",,Revancha,0,
9/17/2002 12:00:00 AM,1724,1,main,"15,16,14,35,17,31",8.0,Loto,0,
9/17/2002 12:00:00 AM,1724,1,main,"33,3,21,23,5,9",,Revancha,0,
9/19/2002 12:00:00 AM,1725,1,main,"12,23,20,29,6,36",2.0,Loto,0,
9/19/2002 12:00:00 AM,1725,1,main,"20,35,5,32,30,17",,Revancha,0,
9/22/2002 12:00:00 AM,1726,1,main,"12,30,9,29,28,5",24.0,Loto,0,
9/22/2002 12:00:00 AM,1726,1,main,"28,24,1,5,36,6",,Revancha,0,
9/24/2002 12:00:00 AM,1727,1,main,"35,21,33,4,14,1",20.0,Loto,0,
9/24/2002 12:00:00 AM,1727,1,main,"4,14,2,29,23,7",,Revancha,0,
9/26/2002 12:00:00 AM,1728,1,main,"28,35,27,8,20,9",32.0,Loto,0,
9/26/2002 12:00:00 AM,1728,1,main,"12,23,14,34,2,20",,Revancha,0,
9/29/2002 12:00:00 AM,1729,1,main,"35,8,27,14,20,15",22.0,Loto,0,
9/29/2002 12:00:00 AM,1729,1,main,"2,30,22,15,5,33",,Revancha,0,
10/1/2002 12:00:00 AM,1730,1,main,"6,2,25,33,23,26",13.0,Loto,0,
10/1/2002 12:00:00 AM,1730,1,main,"3,34,33,17,6,32",,Revancha,0,
10/3/2002 12:00:00 AM,1731,1,main,"7,26,12,23,17,16",36.0,Loto,0,
10/3/2002 12:00:00 AM,1731,1,main,"24,20,1,22,27,19",,Revancha,0,
10/6/2002 12:00:00 AM,1732,1,main,"20,27,6,8,22,17",9.0,Loto,0,
10/6/2002 12:00:00 AM,1732,1,main,"35,20,9,17,22,32",,Revancha,0,
10/8/2002 12:00:00 AM,1733,1,main,"24,29,22,33,25,18",30.0,Loto,0,
10/8/2002 12:00:00 AM,1733,1,main,"27,4,1,14,18,9",,Revancha,0,
